Activity,Total energy ,Electronic energy ,Heat of formation ,HOMO eigenvalue ,LUMO eigenvalue ,Molecular surface area ,Total dipole ,Dipole x ,Dipole y ,Mean polarizability ,Total molecular mass ,Atom count ,Element count ,Rotatable bonds ,Hydrogen bond acceptor ,AlogP ,AlogP98 ,Molecular refractivity ,Molecular flexibility ,Balaban index JX ,Balaban index JY ,Wiener index ,Zagreb index ,Kappa-1 ,Kappa-2 ,Kappa-3 ,Kappa-1 (alpha modified) ,Kappa-2 (alpha modified) ,Kappa-3 (alpha modified) ,Subgraph counts (0): path ,Subgraph counts (1): path ,Subgraph counts (2): path ,Subgraph counts (3): path ,Subgraph counts (3): cluster ,Chi (0) ,Chi (1) ,Chi (2) ,Chi (3): path ,Chi (3): cluster ,Chi (0),Chi (1),Chi (2)-1,Chi (3): path,Chi (3): cluster-1,Edge adjacency/magnitude ,Edge distance/magnitude ,Vertex adjacency/equality ,Vertex adjacency/magnitude ,Vertex distance/equality ,Vertex distance/magnitude ,Atomic composition (total) ,E-state keys (sums): S_sCH3 ,E-state keys (sums): S_ssCH2 ,E-state keys (sums): S_aaCH ,E-state keys (sums): S_dssC ,E-state keys (sums): S_aasC ,E-state keys (sums): S_dO ,Molecular area,Molecular volume,Molecular density ,Radius of gyration ,Ellipsoidal volume ,Shadow area: XY plane ,Shadow area: YZ plane ,Shadow area: ZX plane ,Shadow area fraction: XY plane ,Shadow area fraction: YZ plane ,Shadow area fraction: ZX plane ,Shadow length: LX ,Shadow length: LY ,Shadow length: LZ ,Shadow ratio ,Connolly surface area ,Connolly surface occupied volume ,Solvent surface area,Solvent surface occupied volume,Total energy ,Valence energy (diag. terms) ,Bond energy ,Angle energy ,Torsion energy ,Inversion energy 
1.60746,-5294.5,-36350.8,128.35,-8.1,-1.51,423.61,3.826,2.259,-0.947,39.5829,432.32,45,19,8,5,5.243,6.141,100.549,6.774,1.852,1.918,2027,128,22.291,10.519,7.51,19.948,8.829,6.146,26,27,37,42,10,19.156,12.277,11.609,8.259,2.694,15.859,10.178,8.199,5.578,0.991,459.5,6672.9,271.6,310.8,2622.5,6123.3,77.712,1.645,0.496,13.75,-0.323,1.317,12.119,422.92,350.71,1.233,4.228,830.2,98.39,55.09,78.9,0.5758,0.6915,0.7302,15.2236,11.2248,7.0977,2.1449,351.78,377.62,588.55,1045.75,311.69,288.09,276.25,9.811,2.004,0.02
1.58995,-5057.1,-38336.8,-126.79,-7.88,-1.04,401.53,4.284,2.254,2.941,37.3713,429.34,47,19,8,4,5.111,6.443,104.641,6.661,1.93,1.997,1923,128,22.291,10.519,7.51,19.82,8.738,6.073,26,27,37,42,10,19.156,12.277,11.609,8.266,2.694,16.326,10.257,8.255,5.639,1.018,459.5,6696.6,271.6,310.8,2539.6,6141.2,81.362,4.018,0.617,12.992,-0.294,4.284,12.399,399.66,334.43,1.284,3.765,609.55,87.67,56.33,63.13,0.6953,0.6797,0.61,12.5485,10.0484,8.2473,1.5215,316.26,360.73,537.19,963.9,109.44,38.75,7.05,14.073,15.733,1.888
1.41162,-6577.8,-53290.9,258.48,-8.22,-1.75,504.61,9.082,7.404,-5.176,52.0567,545.85,55,23,10,7,3.723,5.718,124.564,7.812,1.742,1.821,3480,170,27.585,12.301,7.492,24.796,10.397,6.146,33,35,50,62,14,24.173,15.602,14.895,11.177,3.413,20.431,12.506,10.139,7.055,1.333,664.39,12189.5,374.8,429,4264.2,10661.7,104.316,3.517,0.993,12.309,0.727,2.545,25.981,503.43,435.82,1.252,4.174,963.62,113.08,70.89,81.6,0.6707,0.5876,0.5719,14.1203,11.9409,10.1042,1.3975,411.14,466.24,663.5,1230.22,548.29,479.93,412.12,56.453,10.882,0.47
1.68485,-5268.4,-37960.6,211.02,-8.21,-1.6,434.39,10.086,-0.102,-4.847,41.78,442.34,47,20,9,5,4.641,5.822,105.772,7.16,1.875,1.934,2214,132,23.281,11.253,8.1,20.679,9.348,6.549,27,28,38,43,10,19.864,12.777,11.94,8.62,2.681,16.467,10.526,8.415,5.685,0.999,474.84,7270.1,284.9,325.2,2832.5,6691.8,81.434,1.709,0.556,15.728,-0.391,1.748,24.767,434.9,364.53,1.213,3.977,708.4,105.11,57.36,69.32,0.7168,0.6858,0.661,13.5584,10.8144,7.7349,1.7529,358.16,391.34,587.41,1061.05,937.46,355.23,341.93,9.305,3.856,0.134
1.57054,-5017.1,-32750.7,90.85,-8.01,-1.54,420.05,2.131,0.369,2.098,38.6922,418.32,45,18,8,5,4.169,6.957,98.11,6.419,1.901,1.972,1818,124,21.302,9.796,6.91,19.247,8.338,5.742,25,26,36,41,10,18.449,11.798,11.177,8.067,2.693,15.734,9.928,8.066,5.572,1.016,444.23,6113.7,258.3,296.4,2405.3,5588.4,78.881,3.823,0.888,0,0.037,0,12.317,417.92,343.73,1.217,4.826,908.21,101.61,48.92,79.95,0.6855,0.6411,0.504,17.5544,8.4436,9.0373,2.079,360.14,366.82,621.7,1061.86,362.62,326.33,313.81,10.904,1.417,0.195
1.42813,-5705.5,-44065.5,72.6,-7.44,-1.6,480.14,2.564,0.288,1.501,45.5138,475.41,56,21,9,5,4.099,5.987,113.229,6.562,1.66,1.727,2429,152,23.659,10.08,5.627,21.683,8.776,4.767,29,31,45,58,14,21.071,13.794,13.01,9.967,3.152,18.461,12.104,9.726,7.242,1.313,584.27,9205.3,319.3,369.2,3183.4,7905.6,95.836,4.381,5.525,2.238,-0.016,2.922,12.674,479.9,399.11,1.191,4.671,1019.12,103.51,57.03,98.12,0.5642,0.593,0.6372,17.1391,10.7046,8.9842,1.9077,401.82,430.07,667.66,1190.36,457.32,346.78,282.83,61.373,2.503,0.069
1.83822,-4628.1,-32379,15.92,-8.22,-1.65,413.19,5.914,2.299,-0.993,36.1815,394.34,47,17,9,4,5.01,6.068,93.988,7.592,2.305,2.38,1514,108,21.043,10.096,9.157,19.527,8.942,8.048,23,23,31,31,9,17.458,10.687,10.407,6.424,2.768,15.456,9.828,8.433,5.124,1.307,369.16,4593.3,225.5,254.1,2018.7,4600.3,76.785,6.126,1.772,7.972,-0.138,2.167,12.038,413.71,334.45,1.179,3.805,705.67,88.55,54.56,64.66,0.6648,0.723,0.6844,12.9134,10.3149,7.3164,1.765,324.69,364.09,545.8,979.58,229.84,203.14,191.8,8.607,2.66,0.071
1.86034,-4613.9,-27263.7,64.65,-7.81,-1.59,337.34,9.139,-8.591,-1.092,29.8315,368.21,35,13,8,6,2.423,3.688,77.205,6.356,2.342,2.483,1106,98,19.048,9.209,8.265,17.162,7.777,6.894,21,21,28,28,8,15.88,9.794,9.475,5.559,2.507,12.911,8.125,6.427,3.978,0.747,325.21,3723.5,200.1,226.5,1579,3728.9,68.606,1.216,0.411,6.173,-1.033,0.302,22.81,335.17,280.12,1.314,3.638,613.02,78.91,45.06,68.01,0.6088,0.6184,0.576,14.4925,8.9434,8.1469,1.7789,287.01,296.03,505.46,855.8,293.07,295.27,275.42,7.545,12.281,0.027
1.23553,-4295.5,-29825.8,363.33,-7.84,-1.33,415.96,6.028,1.278,-0.336,42.1629,404.34,45,20,10,4,4.419,5.102,102.565,7.307,1.896,1.947,1838,118,21.302,11.658,7.26,18.823,9.705,5.808,25,26,33,40,6,18.071,12.113,10.133,7.911,1.229,15.788,10.197,7.57,5.143,0.569,398.93,6113.9,258.3,296.4,2422,5588.7,72.256,1.953,2.196,13.67,-0.241,2.952,11.891,416.05,349.46,1.157,4.864,858.35,98.93,47.64,91.37,0.6851,0.6696,0.5935,17.6771,8.1685,8.7096,2.164,362.42,370.23,624.79,1068.09,436.47,410.04,393.37,13.612,2.633,0.43
1.49415,-3628.4,-27236.6,269.03,-8.12,-1.62,403,8.121,5.613,3.59,38.5947,366.36,47,18,11,3,4.185,4.857,96.004,8.468,2.305,2.353,1361,98,20.045,11.523,9.037,18.389,10.131,7.803,22,22,27,29,5,16.372,10.524,8.931,6.076,1.303,15.385,9.847,7.804,4.689,0.885,310.76,4140.3,212.7,240.2,1849.9,4145.1,67.911,6.478,3.567,8.54,-0.15,2.519,11.79,403.17,332.23,1.103,4.038,680.65,88.6,52.91,73.95,0.6086,0.6588,0.6455,14.4087,10.1023,7.9499,1.8124,332.13,361.36,559.73,994.68,410.44,313.82,296.74,13.199,3.836,0.039
