Activity,Total energy ,Electronic energy ,Heat of formation ,HOMO eigenvalue ,LUMO eigenvalue ,Molecular surface area ,Total dipole ,Dipole x ,Dipole y ,Mean polarizability ,Total molecular mass ,Atom count ,Element count ,Rotatable bonds ,Hydrogen bond acceptor ,AlogP ,AlogP98 ,Molecular refractivity ,Molecular flexibility ,Balaban index JX ,Balaban index JY ,Wiener index ,Zagreb index ,Kappa-1 ,Kappa-2 ,Kappa-3 ,Kappa-1 (alpha modified) ,Kappa-2 (alpha modified) ,Kappa-3 (alpha modified) ,Subgraph counts (0): path ,Subgraph counts (1): path ,Subgraph counts (2): path ,Subgraph counts (3): path ,Subgraph counts (3): cluster ,Chi (0) ,Chi (1) ,Chi (2) ,Chi (3): path ,Chi (3): cluster ,Chi (0),Chi (1),Chi (2)-1,Chi (3): path,Chi (3): cluster-1,Edge adjacency/magnitude ,Edge distance/magnitude ,Vertex adjacency/equality ,Vertex adjacency/magnitude ,Vertex distance/equality ,Vertex distance/magnitude ,Atomic composition (total) ,E-state keys (sums): S_sCH3 ,E-state keys (sums): S_ssCH2 ,E-state keys (sums): S_aaCH ,E-state keys (sums): S_dssC ,E-state keys (sums): S_aasC ,E-state keys (sums): S_dO ,Molecular area,Molecular volume,Molecular density ,Radius of gyration ,Ellipsoidal volume ,Shadow area: XY plane ,Shadow area: YZ plane ,Shadow area: ZX plane ,Shadow area fraction: XY plane ,Shadow area fraction: YZ plane ,Shadow area fraction: ZX plane ,Shadow length: LX ,Shadow length: LY ,Shadow length: LZ ,Shadow ratio ,Connolly surface area ,Connolly surface occupied volume ,Solvent surface area,Solvent surface occupied volume,Total energy ,Valence energy (diag. terms) ,Bond energy ,Angle energy ,Torsion energy ,Inversion energy 
1.56348,-6833.8,-51758,194.5,-8.22,-1.66,540.33,3.533,-2.802,1.541,53.0222,560.86,57,24,11,8,4.769,6.821,127.215,8.515,1.673,1.754,3896,174,28.569,12.992,7.998,25.934,11.164,6.691,34,36,51,63,14,24.88,16.102,15.237,11.496,3.413,21.046,12.895,10.333,7.205,1.319,680.59,12989.5,388.9,444.2,4625.6,11408,105.639,3.58,1.165,12.466,0.584,2.656,25.614,539.31,452.96,1.238,5.245,2826.96,142.93,61.58,87.26,0.5683,0.6368,0.6213,19.1101,13.1602,7.3488,2.6004,459.66,482.95,757.06,1345.29,558.02,503.18,442.11,53.372,7.484,0.214
1.36736,-5298.4,-36928,147.56,-7.73,-1.66,444.64,1.598,-0.869,0.485,42.3155,444.35,49,20,9,5,5.693,7.125,107.241,7.419,1.847,1.92,2206,132,23.281,11.253,8.49,20.966,9.554,7.057,27,28,38,42,10,19.864,12.76,12.069,8.376,2.777,16.942,10.603,8.508,5.764,1.056,474.84,7278.2,284.9,325.2,2808.8,6696.9,83.82,4.056,0.337,13.398,-0.44,4.843,12.031,443.77,370.44,1.2,4.855,1108.86,116.4,50.71,74.56,0.5853,0.611,0.6429,16.6695,11.9302,6.9579,2.3958,384.39,393.54,650.6,1128.42,390.31,292.38,268.1,16.041,7.978,0.26
1.617,-5960.8,-47895.6,25.75,-7.76,-1.24,472.58,5.104,3.827,-3.357,46.8234,490.42,58,22,10,6,3.972,6.867,115.699,7.239,1.57,1.64,2765,156,24.639,10.745,6.081,22.817,9.518,5.261,30,32,46,59,14,21.778,14.294,13.345,10.347,3.152,19.076,12.493,9.92,7.437,1.3,600.17,9892,333.1,384,3493.1,8540.3,97.54,4.289,5.046,2.188,1.126,2.687,12.217,472.82,409.97,1.196,4.457,1088.32,109.09,64.32,88.22,0.6195,0.5913,0.5531,16.0684,10.9581,9.927,1.6187,399.9,437.68,662.31,1191.3,448.64,317.74,257.79,55.735,4.191,0.029
1.5682,-4018,-29556,331.02,-7.38,-0.94,414.02,2.884,-2.318,-1.31,41.3583,390.34,45,19,10,4,3.345,5.746,100.126,6.923,1.922,1.976,1643,114,20.314,10.871,6.682,18.123,9.167,5.432,24,25,32,39,6,17.364,11.635,9.702,7.719,1.229,15.663,9.947,7.437,5.136,0.594,384,5581.4,245.2,282.2,2212.4,5080.3,69.429,4.112,2.731,0,-0.054,0,11.991,410.57,342.97,1.138,4.271,841.59,85.67,59.88,80.72,0.528,0.6397,0.6245,14.967,10.8406,8.6357,1.7331,341.71,369.23,582.53,1025.48,456.2,436.71,420.36,12.73,3.607,0.01
1.83632,-6555.9,-46349.1,40.24,-7.97,-1.56,432.92,3.173,1.782,2.605,39.9918,484.3,46,19,9,8,5.641,7.745,103.132,7.664,1.861,1.966,2698,144,25.262,11.571,9.777,22.736,9.776,8.146,29,30,42,44,13,21.493,13.544,13.637,8.539,3.897,16.653,10.497,8.339,5.359,1.016,536.95,8535.8,311.9,354.4,3310.8,7900.1,86.377,0,-0.223,8.445,-0.622,0.327,11.947,432.46,367.38,1.318,3.981,881.7,92.27,59.47,85.49,0.55,0.614,0.6531,15.0573,11.1407,8.6932,1.7321,353.62,398.45,590.47,1069.57,365.62,315.18,292.7,11.822,10.538,0.118
1.65225,-6754.2,-50285.8,188.03,-8.04,-1.95,556.87,7.104,2.189,-5.754,54.6372,559.48,58,25,10,7,7.013,7.896,128.163,8.624,1.651,1.711,4070,174,28.569,12.992,8.531,26.062,11.25,7.222,34,36,51,61,14,24.88,16.048,15.536,11.224,3.579,21.237,14.194,11.556,8.03,1.584,680.59,12979.8,388.9,444.2,4718.7,11395.6,100.873,3.587,0.666,11.196,2.457,3.546,23.794,553.19,459.56,1.217,5.658,1821.25,142.44,58.16,94.2,0.5599,0.6119,0.6115,20.3064,12.528,7.5868,2.6765,465.06,488.43,768.72,1365.83,509.86,456.15,353.23,87.741,12.501,2.684
1.82151,-5524.3,-36544,149.99,-8.12,-1.5,452.48,8.962,5.696,-1.242,43.009,457.35,49,21,10,6,5.455,6.714,108.397,7.933,1.8,1.865,2524,136,24.271,12,9.14,21.826,10.178,7.594,28,29,39,43,10,20.571,13.26,12.422,8.595,2.777,17.082,10.889,8.727,5.765,1.059,490.26,7878.7,298.4,339.8,3115.2,7274.3,81.134,1.847,0.312,16.025,-0.546,1.963,24.467,449.83,377.4,1.212,5.229,1666.13,115.96,59.64,83.08,0.5524,0.6892,0.6377,17.7765,11.8086,7.3287,2.4256,406.59,395.12,704.55,1182.17,741.46,346.31,331.56,8.083,6.573,0.092
1.51055,-4726.3,-28715.9,-274.81,-8.2,-1.27,315.5,1.835,-1.197,-0.308,26.825,369.2,34,13,8,7,3.073,4.335,75.255,6.513,2.326,2.489,1106,98,19.048,9.209,8.265,17.322,7.896,7.008,21,21,28,28,8,15.88,9.794,9.475,5.559,2.507,12.819,8.014,6.307,3.869,0.738,325.21,3723.5,200.1,226.5,1579,3728.9,64.007,1.196,-0.012,6.002,-1.311,0.128,22.679,314.99,258.62,1.428,3.606,636.12,75.47,46.58,53.98,0.6417,0.6443,0.6153,11.9463,9.845,7.3435,1.6268,273.66,272.73,492.03,815.01,20.43,43.98,10.42,21.737,11.811,0.009
1.23553,-3912.5,-28404.9,333.63,-7.55,-1.42,448.29,6.886,5.68,1.066,44.6467,401.41,51,21,9,1,4.461,3.834,114.526,6.933,1.864,1.899,1856,120,21.302,10.983,7.26,18.912,9.165,5.858,25,26,34,40,7,18.234,11.99,10.5,8.031,1.615,16.795,9.639,7.233,4.41,1.027,413.95,6116.3,258.3,296.4,2430,5587.3,72.844,6.379,1.608,16.412,0.051,4.475,12.416,448.04,370.89,1.082,5.778,1533.91,121.04,47.14,88.42,0.5581,0.6838,0.6251,21.095,10.2816,6.7047,3.1463,404.36,388.46,702.25,1175.36,298.19,286.72,279.23,1.018,6.389,0.078
1.32838,-4553.2,-33270.8,518.98,-7.58,-1.46,479.26,9.063,-8.95,-1.415,50.9833,449.41,51,24,9,2,4.092,3.588,126.31,6.691,1.617,1.65,2658,144,23.659,12.143,7,20.211,9.6,5.259,29,31,41,52,8,20.64,14.08,12.033,10.227,1.529,17.805,10.337,7.214,4.972,0.718,521.32,9199.2,319.3,369.2,3324.6,7893.8,77.147,1.849,0.452,24.289,-0.122,4.037,25.286,479.29,401.74,1.119,5.924,2136.46,137.86,51.24,88.08,0.5385,0.5692,0.534,21.6586,11.8192,7.6157,2.8439,437.96,417.38,757.18,1265,1096.27,437.52,429.4,1.904,6.067,0.142
1.35218,-4301.4,-30287.7,411.18,-7.56,-1.45,457.41,8.197,3.433,6.948,47.4828,425.39,49,22,8,2,3.62,3.076,118.648,5.99,1.618,1.659,2208,136,21.703,10.684,5.99,18.8,8.603,4.601,27,29,39,50,8,19.225,13.101,11.27,9.674,1.541,17.073,9.739,6.866,4.858,0.735,490.26,7878.8,292.1,339.8,2852.2,6682,74.906,3.591,0.51,20.018,0.015,3.897,12.57,455.12,378.32,1.124,5.988,1268.54,117.03,49.75,101.78,0.5872,0.7427,0.5976,22.5104,8.8538,7.5663,2.9751,417.18,395.59,727.37,1206.38,399.34,358.01,348.95,0.707,8.255,0.094
1.71012,-5585.5,-38158.7,395.21,-7.63,-1.49,466.11,9.32,8.45,-3.88,46.6481,476.36,48,22,8,4,4.51,4.179,121.071,6.514,1.66,1.725,2835,152,24.639,11.744,7.536,21.107,9.258,5.704,30,32,44,53,11,21.562,14.364,13.27,10.036,2.661,17.376,9.962,6.885,4.52,0.697,568.43,9914.1,333.1,384,3531.6,8547.9,85.402,0,0.318,19.072,-0.33,2.078,12.672,467.76,392.04,1.215,5.241,2512.15,114.94,59.19,101.7,0.4518,0.548,0.6353,19.4181,13.1027,8.2437,2.3555,427.24,407.4,734.18,1234.27,450.37,394.09,380.58,1.277,11.941,0.295
1.46835,-4578.8,-31729.1,448.96,-7.67,-1.51,457.61,4.875,-1.405,4.661,47.6851,439.39,49,23,8,2,4.695,3.908,121.087,6.326,1.608,1.646,2447,140,22.68,11.408,6.498,19.49,9.088,4.928,28,30,40,51,8,19.933,13.58,11.702,9.866,1.542,17.198,9.988,6.998,4.865,0.711,505.75,8518.9,305.6,354.4,3095.2,7270.6,76.84,1.785,0.427,22.159,-0.134,3.654,12.497,457.08,386.14,1.138,6.115,1352.8,117.94,47.16,109.56,0.5964,0.6596,0.5741,22.9743,8.6067,8.3061,2.7659,420.86,400.23,731.38,1215.39,481.8,370.22,364.17,1.204,4.755,0.087
1.24551,-4989.3,-41450.2,405.69,-7.53,-1.46,512.4,4.686,0.513,3.214,54.3955,482.49,60,25,9,2,2.23,3.075,126.281,6.233,1.451,1.495,2905,164,24.135,10.951,5.239,21.317,9.064,4.148,31,34,48,67,12,21.847,15.097,13.103,11.574,1.999,19.799,11.915,8.525,6.528,1.032,632.16,11386.9,354.4,413.9,3715.5,9218.4,90.681,4.537,5.105,13.018,3.451,4.039,13.008,512.34,434.58,1.11,5.585,2353.46,130.81,64.79,99.16,0.5235,0.6156,0.5386,20.9058,11.9525,8.8059,2.3741,457.25,455.6,773.4,1329.72,780.9,414.08,357.49,47.574,8.436,0.578
1.34242,-4328.8,-32131.2,484.39,-7.52,-1.41,473.39,7.3,2.976,4.715,49.2438,436.42,51,23,8,1,4.562,4.209,125.179,6.223,1.682,1.721,2323,140,22.68,11.408,6.498,19.364,8.998,4.869,28,30,40,51,8,19.933,13.58,11.702,9.873,1.542,17.665,10.067,7.054,4.926,0.738,505.75,8546.1,305.6,354.4,3007.4,7290.1,76.455,4.157,0.471,21.628,-0.105,6.849,12.778,473.57,394.62,1.106,5.76,1717.88,112.53,48.75,113.81,0.4933,0.5297,0.6242,21.2603,10.731,8.5755,2.4792,430.74,416.52,741.02,1246.14,407.49,380.94,361.42,0.37,19.027,0.128
1.60531,-4486.1,-33190.8,370.18,-7.65,-1.51,486.71,8.425,5.107,1.594,48.143,441.43,54,23,9,2,4.132,3.163,122.593,6.747,1.493,1.523,2553,140,22.68,11.408,6.76,19.996,9.447,5.387,28,30,40,50,8,19.933,13.563,11.774,9.901,1.61,17.824,10.738,7.894,5.68,0.846,505.75,8512.7,305.6,354.4,3144.6,7264,80.511,1.922,4.083,16.081,0.407,4.227,24.339,487.39,399.57,1.105,5.958,1459.71,123.3,55.49,99.08,0.5454,0.6923,0.5956,21.6605,10.4362,7.6799,2.8204,434.97,420.56,753.02,1263.19,412.13,379.53,348.46,21.05,9.466,0.559
1.48287,-4388,-33165.7,305.54,-7.68,-1.37,484.45,3.869,1.795,1.122,46.9429,431.44,55,22,10,2,5.291,4.556,120.222,7.74,1.835,1.883,2336,130,23.281,11.87,8.1,20.847,10.025,6.646,27,28,37,43,8,19.811,12.884,11.46,8.766,1.904,18.126,10.048,7.87,4.933,1.243,459.5,7258.9,284.9,325.2,2910.1,6677.5,81.261,7.964,1.569,16.252,0.649,4.331,12.483,485.9,398.05,1.084,5.353,2117.51,105.49,69.2,91.52,0.4433,0.6785,0.6601,17.9871,13.2307,7.7081,2.3335,434.85,417.49,750.84,1257.78,313.67,309.44,293.42,2.35,13.519,0.156
1.78176,-5028.9,-36977.7,486.25,-7.63,-1.24,510.86,8.088,-7.28,1.589,52.5926,479.44,55,25,10,3,4.922,4.31,132.006,7.462,1.575,1.617,3268,154,25.62,13.032,7.775,22.123,10.456,5.964,31,33,44,55,9,22.217,14.974,12.994,10.963,1.818,19.136,10.747,7.852,5.494,0.935,568.43,10615,346.9,398.9,3898.7,9200.3,85.084,3.422,0.422,24.112,0.44,3.885,25.385,512.62,428.34,1.119,6.621,1970.01,138.1,57.32,109.51,0.5098,0.6959,0.6083,24.333,11.1326,7.3984,3.289,465.13,445.16,799,1342.31,1138.66,448.43,440.91,1.136,6.282,0.104
1.62941,-4777,-34370.2,379.41,-7.59,-1.39,489.96,6.763,5.763,-3.538,49.4904,455.42,53,23,9,3,4.45,3.798,124.344,6.751,1.571,1.62,2750,146,23.659,11.571,6.738,20.708,9.454,5.281,29,31,42,53,9,20.803,13.995,12.23,10.41,1.829,18.404,10.149,7.503,5.381,0.952,536.95,9183.8,319.3,369.2,3380.2,7879.3,82.744,5.174,0.479,19.851,0.604,3.754,12.637,489.81,405.43,1.123,6.317,1490.33,114.85,52.73,116.72,0.4579,0.6843,0.6635,23.9302,10.4826,7.3508,3.2554,444.53,424.09,770.09,1283.25,408.32,379.86,358.23,0.621,20.889,0.123
1.45484,-6060.9,-42057.6,366.46,-7.63,-1.39,502.43,11.127,4.714,4.725,49.4303,506.39,52,23,9,5,5.34,4.901,126.766,7.27,1.618,1.689,3468,162,26.602,12.63,8.323,23.022,10.105,6.423,32,34,47,56,12,23.14,15.257,14.23,10.772,2.95,18.707,10.371,7.523,5.043,0.914,616.13,11385.9,360.8,413.9,4126.6,9909.9,94.433,1.544,0.288,18.893,0.191,1.912,12.739,501.53,419.81,1.206,5.861,2743.71,130.85,62.04,101.37,0.4502,0.6169,0.6311,21.5464,13.4907,7.455,2.8902,459.46,439.91,786.39,1324.97,458.25,415.98,392.17,1.006,22.455,0.352
1.64738,-5054.7,-37703.5,410.72,-7.77,-1.31,493.86,2.385,-1.536,1.624,50.8633,469.42,53,24,9,3,5.524,4.63,126.783,7.092,1.564,1.611,3026,150,24.639,12.296,7.259,21.4,9.941,5.62,30,32,43,54,9,21.51,14.474,12.662,10.602,1.83,18.528,10.398,7.636,5.388,0.927,552.66,9879.1,333.1,384,3645.8,8522.2,85.499,3.351,0.396,21.987,0.428,3.494,12.564,492.62,413.11,1.136,5.197,2363.65,106.7,87.03,85.38,0.4845,0.6864,0.6567,15.0274,14.6543,8.6519,1.7369,450.08,431.06,774.14,1298.8,429.14,384.99,375.35,0.688,8.886,0.061
1.83378,-5464.9,-45266.7,372.21,-7.45,-1.42,551.04,4.956,-0.254,-0.862,56.3253,512.51,64,26,10,3,3.123,3.774,143.067,6.957,1.396,1.445,3561,174,26.074,11.823,5.878,23.207,9.893,4.724,33,36,51,70,13,23.424,15.991,14.064,12.31,2.288,21.13,12.324,9.163,7.051,1.249,680.59,12968,382.5,444.2,4334.1,10633.6,98.699,5.865,3.951,14.353,2.958,5.686,13.007,548.29,462.37,1.108,6.259,2183.65,129.91,65.51,120.66,0.5909,0.7007,0.5395,22.9319,9.5865,9.7527,2.3921,490.21,484.94,828.69,1422.92,676.62,406.43,346.11,46.723,12.698,0.893
1.45637,-4803.4,-36223.6,474.44,-7.64,-1.36,490.85,1.838,1.664,0.724,52.548,466.44,55,24,9,2,5.392,4.931,130.875,6.986,1.634,1.681,2882,150,24.639,12.296,7.259,21.273,9.852,5.559,30,32,43,54,9,21.51,14.474,12.662,10.609,1.83,18.996,10.477,7.692,5.448,0.955,552.66,9906.1,333.1,384,3553.4,8541.7,85.084,5.741,0.44,21.454,0.479,6.675,12.845,490.53,417.71,1.117,6.126,1639.45,142.8,60.57,88.1,0.5642,0.6279,0.4733,22.1012,11.4528,8.4227,2.624,453.79,432.24,776.17,1305.3,1086.62,390.27,377.81,1.409,10.938,0.11
1.78032,-4961.6,-36948.7,338.76,-7.76,-1.42,521.78,6.245,4.89,1.427,50.8503,471.46,58,24,10,3,4.961,3.885,128.289,7.524,1.466,1.505,3144,150,24.639,12.296,7.536,21.908,10.303,6.103,30,32,43,53,9,21.51,14.457,12.734,10.637,1.898,19.155,11.148,8.532,6.202,1.063,552.66,9873.7,333.1,384,3694.6,8516.2,88.363,3.506,4.026,15.921,0.987,4.083,24.43,520.95,426.83,1.105,6.538,1788.45,115.94,58.04,126.19,0.4435,0.6191,0.5989,24.2368,10.785,8.6931,2.7881,465.57,448.9,801.91,1348.95,415.49,395.31,362.16,21.574,11.195,0.391
