Activity,Dipole y ,HOMO eigenvalue ,E-state keys (sums): S_dssC ,Heat of formation ,E-state keys (sums): S_sCH3 ,Kappa-3 ,Molecular flexibility ,Shadow area: YZ plane ,Total dipole ,Chi (3): cluster ,E-state keys (sums): S_aasC ,Total energy ,Shadow area : XY plane ,Chi (2) ,Chi (2)-1,Bond energy ,Molecular density ,Shadow length: LZ ,Torsion energy ,Shadow ratio 
1.57,-1.31,-7.38,-0.054,331.02,4.112,6.682,6.923,59.88,2.884,1.229,0,456.2,0.528,9.702,7.437,420.36,1.138,8.6357,3.607,1.7331
1.84,2.605,-7.97,-0.622,40.24,0,9.777,7.664,59.47,3.173,3.897,0.327,365.62,0.55,13.637,8.339,292.7,1.318,8.6932,10.538,1.7321
1.65,-5.754,-8.04,2.457,188.03,3.587,8.531,8.624,58.16,7.104,3.579,3.546,509.86,0.5599,15.536,11.556,353.23,1.217,7.5868,12.501,2.6765
1.82,-1.242,-8.12,-0.546,149.99,1.847,9.14,7.933,59.64,8.962,2.777,1.963,741.46,0.5524,12.422,8.727,331.56,1.212,7.3287,6.573,2.4256
1.51,-0.308,-8.2,-1.311,-274.81,1.196,8.265,6.513,46.58,1.835,2.507,0.128,20.43,0.6417,9.475,6.307,10.42,1.428,7.3435,11.811,1.6268
1.24,1.066,-7.55,0.051,333.63,6.379,7.26,6.933,47.14,6.886,1.615,4.475,298.19,0.5581,10.5,7.233,279.23,1.082,6.7047,6.389,3.1463
1.33,-1.415,-7.58,-0.122,518.98,1.849,7,6.691,51.24,9.063,1.529,4.037,1096.27,0.5385,12.033,7.214,429.4,1.119,7.6157,6.067,2.8439
1.35,6.948,-7.56,0.015,411.18,3.591,5.99,5.99,49.75,8.197,1.541,3.897,399.34,0.5872,11.27,6.866,348.95,1.124,7.5663,8.255,2.9751
1.71,-3.88,-7.63,-0.33,395.21,0,7.536,6.514,59.19,9.32,2.661,2.078,450.37,0.4518,13.27,6.885,380.58,1.215,8.2437,11.941,2.3555
1.47,4.661,-7.67,-0.134,448.96,1.785,6.498,6.326,47.16,4.875,1.542,3.654,481.8,0.5964,11.702,6.998,364.17,1.138,8.3061,4.755,2.7659
1.25,3.214,-7.53,3.451,405.69,4.537,5.239,6.233,64.79,4.686,1.999,4.039,780.9,0.5235,13.103,8.525,357.49,1.11,8.8059,8.436,2.3741
1.34,4.715,-7.52,-0.105,484.39,4.157,6.498,6.223,48.75,7.3,1.542,6.849,407.49,0.4933,11.702,7.054,361.42,1.106,8.5755,19.027,2.4792
1.61,1.594,-7.65,0.407,370.18,1.922,6.76,6.747,55.49,8.425,1.61,4.227,412.13,0.5454,11.774,7.894,348.46,1.105,7.6799,9.466,2.8204
1.48,1.122,-7.68,0.649,305.54,7.964,8.1,7.74,69.2,3.869,1.904,4.331,313.67,0.4433,11.46,7.87,293.42,1.084,7.7081,13.519,2.3335
1.78,1.589,-7.63,0.44,486.25,3.422,7.775,7.462,57.32,8.088,1.818,3.885,1138.66,0.5098,12.994,7.852,440.91,1.119,7.3984,6.282,3.289
1.63,-3.538,-7.59,0.604,379.41,5.174,6.738,6.751,52.73,6.763,1.829,3.754,408.32,0.4579,12.23,7.503,358.23,1.123,7.3508,20.889,3.2554
1.45,4.725,-7.63,0.191,366.46,1.544,8.323,7.27,62.04,11.127,2.95,1.912,458.25,0.4502,14.23,7.523,392.17,1.206,7.455,22.455,2.8902
1.65,1.624,-7.77,0.428,410.72,3.351,7.259,7.092,87.03,2.385,1.83,3.494,429.14,0.4845,12.662,7.636,375.35,1.136,8.6519,8.886,1.7369
1.83,-0.862,-7.45,2.958,372.21,5.865,5.878,6.957,65.51,4.956,2.288,5.686,676.62,0.5909,14.064,9.163,346.11,1.108,9.7527,12.698,2.3921
1.46,0.724,-7.64,0.479,474.44,5.741,7.259,6.986,60.57,1.838,1.83,6.675,1086.62,0.5642,12.662,7.692,377.81,1.117,8.4227,10.938,2.624
1.78,1.427,-7.76,0.987,338.76,3.506,7.536,7.524,58.04,6.245,1.898,4.083,415.49,0.4435,12.734,8.532,362.16,1.105,8.6931,11.195,2.7881
